h3_index,h3_resolution,hex_lat,hex_lon,expected_unit_count,max_p_any_unit,contributing_units
851e4903fffffff,5,46.8689,35.4507,0.015024,0.003336,30
851e49abfffffff,5,46.9501,35.8142,0.019455,0.004113,30
852d7577fffffff,5,46.5805,37.449,0.008937,0.000827,31
852d44c3fffffff,5,46.9979,39.0167,0.006806,0.000684,31
852d42dbfffffff,5,45.6452,40.8763,0.000954,0.000797,6
852d5317fffffff,5,44.0155,42.3968,0.000743,0.000736,2
852d2ccbfffffff,5,44.0688,32.1933,0.000784,0.000499,4
852d738ffffffff,5,45.5753,38.7844,0.001129,0.000546,15
851e5b27fffffff,5,44.3806,31.7941,0.000578,0.000426,4
852d76b7fffffff,5,45.4025,36.4972,0.001327,0.000539,15
852d402ffffffff,5,47.1868,41.6903,0.00041,0.000189,6
852d667bfffffff,5,47.3279,36.8236,0.058365,0.00432,37
852d09a7fffffff,5,44.1125,38.7567,0.000752,0.000642,6
852d4603fffffff,5,46.1801,40.0303,0.00085,0.000312,12
852d51d7fffffff,5,44.8678,41.4404,0.001175,0.001118,5
852d2b8bfffffff,5,44.109,35.2173,0.000726,0.000397,6
852d6213fffffff,5,47.4436,37.7749,0.09433,0.005774,37
852d7223fffffff,5,44.8091,38.5949,0.001023,0.0008,7
852d724ffffffff,5,44.1827,38.3336,0.000852,0.000767,6
851e4c2bfffffff,5,47.7471,33.6564,0.002644,0.000866,17
852d51abfffffff,5,45.1837,42.0551,0.001211,0.00119,5
852d462ffffffff,5,46.3579,40.7181,0.000717,0.000411,6
852d7363fffffff,5,45.1747,39.5742,0.000898,0.000423,6
852d405bfffffff,5,46.4763,40.8545,0.000679,0.000382,6
851e4d6bfffffff,5,47.3536,34.7436,0.012197,0.00266,23
852d5097fffffff,5,44.4763,40.4939,0.000846,0.000655,5
851e4b17fffffff,5,46.1891,34.6193,0.002701,0.000643,17
852d710ffffffff,5,46.3705,38.7605,0.002289,0.000521,29
852d42affffffff,5,46.3512,41.6989,0.000663,0.000566,5
851e5913fffffff,5,45.5778,31.875,0.000584,0.000428,5
851e48d7fffffff,5,47.379,33.4676,0.004298,0.00259,17
852d280bfffffff,5,44.1045,34.2135,0.001666,0.000931,6
852d74a3fffffff,5,46.2668,36.0076,0.005068,0.000627,30
852d552bfffffff,5,45.1986,41.0928,0.001111,0.001009,5
852d542bfffffff,5,44.4061,40.1468,0.000765,0.000492,6
852d75a3fffffff,5,47.0431,36.9867,0.032757,0.001807,34
852d290bfffffff,5,44.9228,35.1573,0.001023,0.00045,10
851e49d7fffffff,5,47.1828,35.0557,0.016027,0.003871,31
852d700ffffffff,5,45.6057,37.7821,0.001506,0.000664,15
851e4a17fffffff,5,46.3785,33.0475,0.006689,0.004423,10
852d294bfffffff,5,44.5167,35.1875,0.000933,0.000454,10
852d0d27fffffff,5,44.1388,37.7723,0.000871,0.000805,6
852d556bfffffff,5,44.7838,41.1017,0.001087,0.000994,5
852d714ffffffff,5,45.9737,38.7725,0.001386,0.000383,25
852d7463fffffff,5,45.6596,36.5544,0.001732,0.000465,16
851e4b57fffffff,5,45.9872,34.1216,0.001908,0.000952,12
852d50d7fffffff,5,44.0742,40.4969,0.000657,0.000502,4
851e4897fffffff,5,47.5794,33.9741,0.004457,0.001097,17
852d409bfffffff,5,47.0995,40.3428,0.001061,0.000413,22
852d466ffffffff,5,45.9425,40.7301,0.000832,0.000613,6
852d728ffffffff,5,44.802,37.8157,0.001133,0.000927,7
852d426ffffffff,5,45.7176,42.1928,0.001001,0.000977,5
852d6253fffffff,5,47.0505,37.7922,0.031741,0.001775,34
851e4d2bfffffff,5,47.5479,35.2503,0.020208,0.004986,30
852d41dbfffffff,5,47.5169,41.3275,0.000545,0.000366,6
852d7323fffffff,5,45.5738,39.5664,0.00091,0.000342,12
851e4803fffffff,5,47.0701,33.8728,0.005902,0.003038,17
852d73cffffffff,5,45.1752,38.7962,0.001039,0.000679,7
851e4dd7fffffff,5,48.1689,34.4469,0.003896,0.00064,21
852d2d0bfffffff,5,45.1177,33.6152,0.002331,0.001455,10
852d431bfffffff,5,46.6715,42.3345,0.000434,0.000373,5
851e4943fffffff,5,46.6733,34.9484,0.007768,0.001252,17
852d2877fffffff,5,44.1947,34.5654,0.001348,0.00063,6
852d750ffffffff,5,46.6142,37.2288,0.010292,0.000832,31
852d5497fffffff,5,44.7376,39.0203,0.00092,0.000663,7
852d445bfffffff,5,46.678,39.383,0.002024,0.000454,24
852d707bfffffff,5,45.3157,37.9372,0.001281,0.000794,15
851e4a83fffffff,5,46.6619,32.8683,0.008619,0.00567,10
852d29b7fffffff,5,45.6155,34.959,0.001311,0.000375,17
852d5003fffffff,5,44.1047,41.0489,0.000764,0.000687,4
852d764ffffffff,5,44.4169,36.8387,0.000895,0.000741,6
852d7677fffffff,5,44.7896,37.033,0.001072,0.000826,11
852d502bfffffff,5,44.154,41.5856,0.000865,0.000831,4
851e4aabfffffff,5,46.3527,33.2732,0.005832,0.00396,12
852d6613fffffff,5,47.6762,36.2097,0.044133,0.00423,39
852d70a3fffffff,5,46.0392,37.5469,0.002591,0.000504,30
852d55d7fffffff,5,45.0996,39.9979,0.000895,0.000522,6
852d71bbfffffff,5,46.6939,38.3886,0.00688,0.00078,33
851e4bc3fffffff,5,46.2728,33.9479,0.003294,0.00193,17
852d5143fffffff,5,44.5011,41.9891,0.001081,0.001062,4
852d7537fffffff,5,46.9761,37.43,0.028476,0.001653,34
852d46dbfffffff,5,45.8639,39.4183,0.000979,0.000298,12
